模組代碼,模組名稱,英文名稱,最低需求版本,模組分類,對外顯示,舊代碼,模組說明,主檔分類內容
NX01,主檔管理,Master Data,LITE,核心業務層,TRUE,NX00,所有模組的基礎主檔，管理使用者、角色、權限、料號、廠商、客戶、倉庫等核心資料。,使用者主檔(user) / 員工主檔(employee) / 職務主檔(role) / 使用者職務對應(user_role) / 使用者據點對應(user_warehouse) / 畫面主檔(view) / 角色畫面權限(role_view) / 地區主檔(country) / 幣別主檔(currency) / 零件主檔(part) / 品牌主檔(part_brand) / 零件種類(part_group) / 汽車品牌(car_brand) / 編碼規則(brand_code_rule) / 零件關聯(part_relation) / 倉庫主檔(warehouse) / 倉庫類型(warehouse_type) / 庫位主檔(location) / 交易對象主檔(partner) / 客戶信用額度(partner_credit) / 客戶等級主檔(customer_grade) / 部門主檔(department) / 組別主檔(team) / 使用者組別關聯(user_team) / 折扣代碼主檔(discount_code) / KPI指標範本(kpi_template) / KPI目標設定(kpi_target) / KPI實際記錄(kpi_record) / 公告主檔(bulletin) / 行事曆事件(calendar_event) / 操作紀錄(audit_log)
NX02,採購管理,Procurement,LITE,核心業務層,TRUE,NX01,管理從採購需求、詢價、採購單、驗收到退貨的完整採購流程，支援國內/國外/調貨三種採購類型。,採購需求單(demand) / 詢價單表頭(rfq) / 詢價單明細(rfq_item) / 採購單表頭(po)[PLUS] / 採購單明細(po_item)[PLUS] / 進貨單表頭(rr) / 進貨單明細(rr_item) / 進口費用攤分(rr_import) / 退貨單表頭(pr) / 退貨單明細(pr_item) / 調貨單表頭(ti) / 調貨單明細(ti_item)
NX03,庫存管理,Inventory,LITE,核心業務層,TRUE,NX02,管理庫存異動、餘額、盤點、調撥、撿貨與包貨作業，為庫存唯一真實來源（SSOT）。,庫存異動台帳(stock_ledger)[SSOT] / 庫存餘額彙總(stock_balance) / 安全量最高量設定(part_stock_setting) / 缺貨簿(shortage)[PLUS] / 自動調撥補貨設定(auto_replenish)[PLUS] / 開帳存表頭(init) / 開帳存明細(init_item) / 盤點單表頭(stock_take) / 盤點單明細(stock_take_item) / 調撥單表頭(st) / 調撥單明細(st_item) / 撿貨單表頭(pk) / 撿貨單明細(pk_item) / 包貨單表頭(pl) / 包貨單明細(pl_item) / 包裹主檔(parcel)
NX04,銷售管理,Sales,LITE,核心業務層,TRUE,NX03,管理報價、銷貨、銷退完整銷售流程，支援配送/自取/寄貨三種出貨方式及客戶等級定價機制。,報價單表頭(quote) / 報價單明細(quote_item) / 銷貨單表頭(so) / 銷貨單明細(so_item) / 銷退單表頭(sr) / 銷退單明細(sr_item)
NX05,財務管理,Finance,LITE,核心業務層,TRUE,NX04,管理應收帳款、應付帳款、收付款、票據、折讓與關帳作業，支援月結/現金付款條件及多幣別。,應收帳款紀錄(ar_ledger) / 應付帳款紀錄(ap_ledger) / 收付款紀錄(paylog) / 票據管理(note) / 折讓單(allowance) / 折讓單明細(allowance_item) / 關帳記錄(closing) / 會計科目主檔(account_code)
NX06,物流管理,Logistics,LITE,核心業務層,TRUE,NX07,管理外務配送任務，支援送貨/取件/退貨取件/調撥等多種任務類型，支援電子簽收與GPS追蹤（Phase 2）。,送貨單表頭(dn) / 送貨單明細(dn_item) / 送貨停靠點(dn_stop)
NX07,人資管理,Human Resources,PRO,管理分析層,TRUE,NX08,管理員工出勤、排班、請假、加班、薪資計算與績效考核，支援台式OKR績效考核制度。,班別主檔(shift_type) / 月排班主檔(schedule) / 排班明細(schedule_item) / 打卡記錄(attendance) / 打卡IP白名單(ip_whitelist) / 假別主檔(leave_type) / 假別餘額(leave_balance) / 請假申請(leave_request) / 加班申請(overtime_request) / 薪資設定(salary_setting) / 薪資組成項目(salary_component) / 每月薪資記錄(salary_record) / 薪資明細(salary_record_item)
NX08,經營分析,Business Intelligence,PRO,管理分析層,TRUE,NX05,整合HPA歷史路徑分析、BCG矩陣、TOWS戰略、Ansoff矩陣、Porter五力等EMBA分析工具，提供個人日月報表至總經理經營儀表板的完整分析體系。,個人日月報表(daily_report / monthly_report) / 銷售分析快取(sales_analysis) / 採購分析快取(procurement_analysis) / 庫存產品分析快取(inventory_analysis) / 廠商分析快取(supplier_analysis) / 財務分析快取(finance_analysis) / 人資分析快取(hr_analysis) / SWOT矩陣記錄(swot_record) / PESTEL評估記錄(pestel_record)
NX09,知識管理,Knowledge Management,PRO,特色功能層,TRUE,NX09(新),管理企業知識資產，包含KM知識庫QA撰寫搜尋（Phase 2接RAG AI自動解答）、制度文件閱覽與會議管理。,知識庫主檔(km_article) / 知識庫標籤(km_tag) / 知識庫文章標籤關聯(km_article_tag) / 知識庫回饋(km_feedback) / 文件庫主檔(document) / 文件版本(document_version) / 會議主檔(meeting) / 會議出席(meeting_attendee) / 會議紀錄(meeting_minutes) / 會議追蹤事項(meeting_action)
NX10,遊戲化系統,Gamification,PRO,特色功能層,TRUE,NX10(新),將員工KPI執行轉化為可量化的經驗值系統，透過銅/銀/金/白金/鑽石勳章等級（各四階共20階）、轉職任務、團隊任務與限時衝刺激勵員工積極工作。,勳章等級主檔(medal_level) / 員工Exp記錄(emp_exp_log) / 員工當前等級(emp_medal) / 任務主檔(task_template) / 員工任務記錄(emp_task_log) / 驚喜寶箱紀錄(surprise_box_log) / 門市團隊任務(team_task) / 門市團隊任務記錄(team_task_log) / 轉職條件主檔(promotion_criteria) / 轉職申請(promotion_request) / 帶新人記錄(mentorship_record) / 季度排行快取(ranking_cache) / Exp懲罰紀錄(exp_penalty_log)
NX98,共用核心,Shared Core,LITE,系統層,FALSE,NX06,純技術模組，管理跨模組的單據流轉關聯，不對外顯示於UI。,單據流轉關聯表(doc_link)
NX99,系統管理,System,LITE,系統層,FALSE,NX99,多租戶核心模組，管理租戶、方案、訂閱、功能開關與平台版本，不對外顯示於UI。,租戶主檔(tenant) / 方案主檔(plan) / 租戶訂閱(subscription) / 訂閱項目明細(subscription_item) / 產品模組主檔(product_module) / 模組對照表(product_module_map) / 平台版本主檔(release) / 版本內容清單(release_item)
