序號,模組代碼,模組名稱,表格代碼,表格名稱,中文名稱,最低需求版本,表格說明,前綴碼,Table ID 範例,舊表格名稱
1,nx01,主檔管理,user,nx01_user,使用者主檔,LITE-CORE,系統登入帳號資料，包含帳號、密碼雜湊、姓名、狀態與基本資訊；用於登入驗證、權限判斷與操作紀錄追蹤。可預留 employee_id 以支援未來人事模組整合。,USER,NX01USER0000001,nx00_user
2,nx01,主檔管理,employee,nx01_employee,員工主檔,PRO-CORE,員工基本資料主檔（PRO版），記錄員工姓名、部門、職稱、到職日與薪資基本資訊，與使用者帳號（nx00_user）關聯，供人資模組（NX08）使用。,EMPL,NX01EMPL0000001,nx00_employee
3,nx01,主檔管理,role,nx01_role,職務主檔,LITE-CORE,定義系統權限角色（如管理者、業務、倉管等），用於彙整可操作功能權限集合。,ROLE,NX01ROLE0000001,nx00_role
4,nx01,主檔管理,user_role,nx01_user_role,使用者職務對應表,LITE-CORE,使用者與權限角色之多對多關聯表，支援一人多角色與角色彈性擴充。,USRO,NX01USRO0000001,nx00_user_role
5,nx01,主檔管理,user_warehouse,nx01_user_warehouse,使用者據點對應表,PLUS-CORE,使用者與倉庫的多對多關聯表（PLUS版），限制使用者只能操作被授權的倉庫，支援多倉管理的權限控管。,USWA,NX01USWA0000001,nx00_user_warehouse
6,nx01,主檔管理,view,nx01_view,畫面主檔,LITE-CORE,系統功能畫面定義主檔，用於控管畫面層級權限與後續功能模組管理。,VIEW,NX01VIEW0000001,nx00_view
7,nx01,主檔管理,role_view,nx01_role_view,角色與畫面權限對應,LITE-CORE,定義角色對各畫面的操作權限（讀取/新增/編輯/刪除/匯出），實現 RBAC 權限控管機制。,ROVI,NX01ROVI0000001,nx00_role_view
8,nx01,主檔管理,country,nx01_country,地區主檔,LITE-CORE,地區/國家主檔，記錄國家代碼與名稱，供交易對象地址、幣別對應與報表統計使用。,COUN,NX01COUN0000001,nx00_country
9,nx01,主檔管理,currency,nx01_currency,幣別主檔,LITE-CORE,幣別主檔，記錄幣別代碼（如TWD/USD/EUR）、名稱與匯率，供採購與財務模組引用。,CURR,NX01CURR0000001,nx00_currency
10,nx01,主檔管理,part,nx01_part,零件主檔,LITE-CORE,零件基礎資料維護，包含料號、名稱、品牌、規格與狀態等屬性，供進銷存流程引用。,PART,NX01PART0000001,nx00_part
