序號,模組代碼,表格代碼,表格名稱,中文名稱,最低需求版本,表格說明,前綴碼,Table ID 範例
1,nx00,user,nx00_user,使用者主檔,LITE-CORE,系統登入帳號資料，包含帳號、密碼雜湊、姓名、狀態與基本資訊；用於登入驗證、權限判斷與操作紀錄追蹤。可預留 employee_id 以支援未來人事模組整合。,USER,NX00USER0000001
2,nx00,employee,nx00_employee,員工主檔,PRO-CORE,員工基本資料主檔（PRO版），記錄員工姓名、部門、職稱、到職日與薪資基本資訊，與使用者帳號（nx00_user）關聯，供人資模組（NX08）使用。,EMPL,NX00EMPL0000001
3,nx00,role,nx00_role,職務主檔,LITE-CORE,定義系統權限角色（如管理者、業務、倉管等），用於彙整可操作功能權限集合。,ROLE,NX00ROLE0000001
4,nx00,team,nx00_team,組別主檔,PRO-CORE,組別主檔（PRO版），定義公司內部各業務組別（如業務一組、倉管組等），用於人資模組的KPI與業績計算。,TEAM,NX00TEAM0000001
5,nx00,department,nx00_department,部門主檔,PRO-CORE,部門主檔（PRO版），定義公司組織架構中的部門層級（如採購部、銷售部、倉管部），供人資模組與報表統計使用。,DEPA,NX00DEPA0000001
6,nx00,user_role,nx00_user_role,使用者職務對應表,LITE-CORE,使用者與權限角色之多對多關聯表，支援一人多角色與角色彈性擴充。,USRO,NX00USRO0000001
7,nx00,user_warehouse,nx00_user_warehouse,使用者據點對應表,PLUS-CORE,使用者與倉庫的多對多關聯表（PLUS版），限制使用者只能操作被授權的倉庫，支援多倉管理的權限控管。,USWA,NX00USWA0000001
8,nx00,view,nx00_view,畫面主檔,LITE-CORE,系統功能畫面定義主檔，用於控管畫面層級權限與後續功能模組管理。,VIEW,NX00VIEW0000001
9,nx00,role_view,nx00_role_view,角色與畫面權限對應,LITE-CORE,定義角色對各畫面的操作權限（讀取/新增/編輯/刪除/匯出），實現 RBAC 權限控管機制。,ROVI,NX00ROVI0000001
10,nx00,country,nx00_country,地區主檔,LITE-CORE,地區/國家主檔，記錄國家代碼與名稱，供交易對象地址、幣別對應與報表統計使用。,COUN,NX00COUN0000001
11,nx00,currency,nx00_currency,幣別主檔,LITE-CORE,幣別主檔，記錄幣別代碼（如TWD/USD/EUR）、名稱與匯率，供採購與財務模組引用。,CURR,NX00CURR0000001
12,nx00,part,nx00_part,零件主檔,LITE-CORE,零件基礎資料維護，包含料號、名稱、品牌、規格與狀態等屬性，供進銷存流程引用。,PART,NX00PART0000001
13,nx00,part_brand,nx00_part_brand,品牌主檔,LITE-CORE,零件品牌資料維護，用於分類與報表統計。,PABR,NX00PABR0000001
14,nx00,part_group,nx00_part_group,零件種類,LITE-CORE,零件種類主檔，定義零件的分類群組（如濾芯類、煞車類、引擎類），用於盤點範圍設定與報表統計。,PAGR,NX00PAGR0000001
15,nx00,car_brand,nx00_car_brand,汽車品牌,LITE-CORE,汽車品牌資料維護，用於分類與報表統計。,CABR,NX00CABR0000001
16,nx00,brand_code_rule,nx00_brand_code_rule,編碼規則檔,LITE-CORE,零件編碼規則主檔，定義各品牌的料號編碼格式與規則，確保料號格式一致性與可辨識性。,BCOR,NX00BCOR0000001
17,nx00,part_relation,nx00_part_relation,零件關聯表,LITE-CORE,專車族群主檔，包含族群名稱與料號匹配條件,PARE,NX00PARE0000001
18,nx00,warehouse,nx00_warehouse,倉庫主檔,LITE-CORE,倉庫資料維護（即使 LITE 為單倉架構仍保留），為未來多倉升級預留基礎。,WARE,NX00WARE0000001
19,nx00,warehouse_type,nx00_warehouse_type,倉庫類型主檔,PLUS-CORE,倉庫類型主檔，定義系統預設倉庫類型代碼（H=總部/M=主倉/W=分倉/S=衛星倉），搭配 flow_mode 控制集中或分倉管理邏輯。,WHTP,NX00WHTP0000001
20,nx00,location,nx00_location,庫位主檔,LITE-CORE,倉庫內庫位資料，支援庫存精準定位與盤點管理。,LOCA,NX00LOCA0000001
21,nx00,partner,nx00_partner,交易對象主檔,LITE-CORE,統一管理客戶與供應商資料，包含聯絡資訊、角色類型（客戶/供應商/雙角色），供採購與銷售單據引用。,PTNR,NX00PTNR0000001
22,nx00,bulletin,nx00_bulletin,公告主檔,LITE-CORE,公告主檔，記錄系統內部公告資料，支援類型分類、置頂設定與到期自動隱藏功能，用於系統通知與公告管理。,BULL,NX00BULL0000001
23,nx00,calendar_event,nx00_calendar_event,事件主檔,LITE-CORE,行事曆事件主檔，記錄手動登錄的重要事件，包含廠商到貨（可關聯PO）、公司內部活動等，供首頁行事曆顯示。,CAEV,NX00CAEV0000001
24,nx00,audit_log,nx00_audit_log,操作紀錄表,LITE-CORE,記錄系統重要操作與資料異動歷程，包含操作者、時間、動作類型與變更內容，用於稽核與問題追溯。,AULO,NX00AULO0000001
25,nx00,discount_code,nx00_discount_code,折扣代碼主檔,LITE-CORE,定義各種折扣代碼（DEFECT瑕疵品/USED中古件/VIP客戶優惠/BULK批量折扣等），由採購組長管理，業務銷售時套用。支援折扣率（%）或折扣金額兩種方式。,DISC,NX00DISC0000001
26,nx00,partner_credit,nx00_partner_credit,客戶信用額度設定,LITE-CORE,記錄客戶信用額度設定，控管下單風險。已用額度超過80%警示，超過100%通知負責人，負責人可設定口頭警告/僅收現金/凍結三種處置方式。,PTCR,NX00PTCR0000001
27,nx00,customer_grade,nx00_customer_grade,客戶等級主檔,LITE-CORE,定義客戶等級（預設 A/B/C/D 四級，可自行新增），記錄各等級名稱、毛利下限百分比與最高售價規則（以下一等級最低售價為上限，D級無上限）。由銷售組長管理，供報價單定價邏輯使用。,CUGR,NX00CUGR0000001
28,nx01,rfq,nx01_rfq,詢價單表頭資料,LITE-CORE,記錄供應商或同行詢價主檔，分為一般詢價（採購專員建立）與同行調貨詢價（銷售專員建立）兩種類型。支援詢價原因複選（庫存不足/客訂/新品/特價/同行調貨），可匯出 Excel/PDF/CSV 寄給供應商，支援回傳匯入報價。,RFHT,NX01RFHT0000001
29,nx01,rfq_item,nx01_rfq_item,詢價單明細資料,LITE-CORE,詢價單明細項目，記錄零件、數量與詢價成本，支援部分或完整轉單。,RFIT,NX01RFIT0000001
30,nx01,po,nx01_po,採購單表頭資料,PLUS-CORE,採購單表頭主檔（PLUS版），記錄向正式廠商下訂單的主檔資料，必須從詢價單匯入建立，需採購組長審核後才能寄出。廠商確認後系統自動產生應付帳款。,POHT,NX01POHT0000001
31,nx01,po_item,nx01_po_item,採購單明細資料,PLUS-CORE,採購單明細資料（PLUS版），記錄採購料號、數量、單價、預計到貨日與已到貨數量，支援分批到貨追蹤。,POIT,NX01POIT0000001
32,nx01,rr,nx01_rr,進貨單表頭資料,LITE-CORE,記錄進貨單主檔資料，包含供應商、單據日期、單號、狀態與總金額；過帳後將產生庫存異動。,RRHT,NX01RRHT0000001
33,nx01,rr_item,nx01_rr_item,進貨單明細資料,LITE-CORE,記錄進貨零件、入庫倉庫/庫位、數量與單位成本；過帳時寫入庫存異動台帳並更新庫存餘額。,RRIT,NX01RRIT0000001
34,nx01,pr,nx01_pr,退貨單表頭資料,LITE-CORE,退供應商單表頭資料，記錄退貨主檔，來源為進貨驗收異常或入帳後才發現問題。需採購組長審核，退貨完成後依付款狀態自動沖銷AP或產生應收廠商退款。,PRHT,NX01PRHT0000001
35,nx01,pr_item,nx01_pr_item,退貨單明細資料,LITE-CORE,退供應商單明細資料，記錄退貨料號、數量、退貨原因（數量多餘/外觀損壞/功能異常/規格不符/其他）與瑕疵照片附件。,PRIT,NX01PRIT0000001
36,nx01,demand,nx01_demand,採購需求單,LITE-CORE,記錄被動產生的採購需求，來源分為庫存不足（系統自動）與客訂（銷售專員登記）兩種。採購專員每日查看並決定是否發起詢價。,DMND,NX01DMND0000001
37,nx01,ti,nx01_ti,調貨單表頭資料,LITE-CORE,記錄向同行調貨的主檔資料，從詢價單（同行調貨詢價）建立，包含同行資料、料號、數量與報價。支援驗收入帳後觸發庫存異動。,TIHT,NX01TIHT0000001
38,nx01,ti_item,nx01_ti_item,調貨單明細資料,LITE-CORE,記錄調貨明細項目，包含料號、數量、單價與入庫倉庫/庫位。,TIIT,NX01TIIT0000001
39,nx02,stock_ledger,nx02_stock_ledger,庫存異動台帳,LITE-CORE,庫存異動唯一真實來源（Single Source of Truth），記錄每一次庫存變動（進貨、銷貨、盤點、調整等），支援庫存追溯與成本計算。,STLE,NX02STLE0000001
40,nx02,stock_balance,nx02_stock_balance,庫存餘額彙總表,LITE-CORE,依零件/倉庫/庫位彙總現有庫存數量與移動平均成本，為查詢效率優化之結果表。,STBL,NX02STBL0000001
41,nx02,part_stock_setting,nx02_part_stock_setting,安全量/最高量設定,LITE-CORE,零件安全量與最高量設定，記錄各倉庫各料號的最低安全量與最高庫存量，供缺貨偵測與自動補貨計算使用。,PSST,NX02PSST0000001
42,nx02,shortage,nx02_shortage,缺貨簿,PLUS-CORE,缺貨簿（PLUS版），記錄庫存低於安全量的缺貨狀況，來源包含庫存不足自動偵測與跨倉補貨需求，供採購需求單自動產生使用。,SHOR,NX02SHOR0000001
43,nx02,auto_replenish,nx02_auto_replenish,自動調撥補貨設定,PLUS-CORE,自動調撥補貨設定（PLUS版），定義各料號在各倉庫的自動補貨規則，當庫存低於安全量時系統自動產生調撥草稿。,AURE,NX02AURE0000001
44,nx02,init,nx02_init,開帳存表頭,LITE-CORE,開帳存表頭，記錄系統首次啟用時的期初庫存單主檔，包含開帳日期、倉庫與狀態，過帳後寫入庫存台帳作為庫存起始基準。,INHD,NX02INHD0000001
45,nx02,init_item,nx02_init_item,開帳存明細,LITE-CORE,開帳存明細，記錄各料號的期初庫存數量、庫位與單位成本，過帳後寫入庫存異動台帳並建立庫存餘額。,INIT,NX02INIT0000001
46,nx02,stock_take,nx02_stock_take,盤點單表頭資料,LITE-CORE,記錄盤點單基本資料與盤點期間，用於盤點差異確認。,STTK,NX02STTK0000001
47,nx02,stock_take_item,nx02_stock_take_item,盤點單明細資料,LITE-CORE,記錄實際盤點數量與系統數量差異，過帳後寫入庫存異動台帳進行修正。,STTI,NX02STTI0000001
48,nx02,st,nx02_st,調撥單表頭資料,LITE-CORE,調撥單表頭資料，支援自動調撥（進貨後系統產生草稿）與手動調撥申請（跨倉補貨）。採兩階段過帳：來源倉出貨後庫存減少，目標倉確認收貨後庫存增加。調撥核准後系統自動產生撿貨單。,STHD,NX02STHD0000001
49,nx02,st_item,nx02_st_item,調撥單明細資料,LITE-CORE,調撥單明細資料，記錄調撥料號、數量、來源倉/庫位、目標倉/庫位與實際收貨數量，支援數量異常處理。,STIT,NX02STIT0000001
50,nx02,pk,nx02_pk,撿貨單表頭資料,LITE-CORE,由系統自動產生，來源為銷貨單（本倉有庫存）或調撥單核准後。一張撿貨單可合併多張銷貨單，撿貨完成後依出貨方式分流（配送/自取/寄貨/調撥）。,PKHD,NX02PKHD0000001
51,nx02,pk_item,nx02_pk_item,撿貨單明細資料,LITE-CORE,記錄撿貨明細，包含料號、庫位、數量、貼紙確認狀態與撿貨結果（正常/找不到貨）。,PKIT,NX02PKIT0000001
52,nx02,pl,nx02_pl,包貨單表頭資料,LITE-CORE,撿貨完成後產生（寄貨或調撥類型），記錄包貨作業主檔。一張包貨單可包裝成多個包裹，每個包裹有唯一包裹編號。,PLHD,NX02PLHD0000001
53,nx02,pl_item,nx02_pl_item,包貨單明細資料,LITE-CORE,記錄包貨明細，包含料號、數量與對應包裹編號。,PLIT,NX02PLIT0000001
54,nx02,parcel,nx02_parcel,包裹主檔,LITE-CORE,記錄每個實體包裹資料，包含唯一包裹編號（BOX-來源倉-目的地-日期-流水）、包裹內容、重量與第三方物流單號（寄貨時填入）。,PARC,NX02PARC0000001
55,nx03,quote,nx03_quote,報價單表頭資料,LITE-CORE,記錄客戶報價單主檔資料，包含客戶、單據日期、狀態與總金額，支援轉銷貨單。,QTHD,NX03QTHD0000001
56,nx03,quote_item,nx03_quote_item,報價單明細資料,LITE-CORE,報價明細項目，記錄零件、數量與單價，支援部分或完整轉單。,QTIT,NX03QTIT0000001
57,nx03,so,nx03_so,銷貨單表頭資料,LITE-CORE,記錄銷貨主檔資料，包含客戶、單據日期、狀態與總金額；過帳後將扣減庫存並產生應收帳款。,SOHD,NX03SOHD0000001
58,nx03,so_item,nx03_so_item,銷貨單明細資料,LITE-CORE,記錄銷貨零件、出貨倉庫/庫位、數量與單價；過帳時寫入庫存異動台帳。,SOIT,NX03SOIT0000001
59,nx03,sr,nx03_sr,銷退單表頭資料,LITE-CORE,記錄客戶退貨主檔資料，來源為已配送或已完成的銷貨單。依料號退貨政策（return_policy）自動提示退貨標準，支援一般退貨與業務通融兩種類型，需銷售組長審核。,SRHD,NX03SRHD0000001
60,nx03,sr_item,nx03_sr_item,銷退單明細資料,LITE-CORE,記錄銷退明細，包含料號、退貨數量、退貨原因、退貨類型（一般/業務通融）與通融原因。,SRIT,NX03SRIT0000001
61,nx04,ar_ledger,nx04_ar_ledger,應收帳款紀錄,LITE-CORE,記錄銷貨單產生之應收帳款資料，包含客戶、應收金額、已收金額與未收餘額。支援部分收款（需負責人審核）與信用額度控管。,ARLE,NX04ARLE0000001
62,nx04,ap_ledger,nx04_ap_ledger,應付帳款紀錄,LITE-CORE,記錄採購單廠商確認後產生之應付帳款資料，包含供應商、應付金額、已付金額與未付餘額。支援部分付款與先付款廠商即時 AP 產生。,APLE,NX04APLE0000001
63,nx04,paylog,nx04_paylog,收付款紀錄,LITE-ADD-ON,收付款紀錄，記錄所有實際金流動作，包含客戶收款（AR核銷）、廠商付款（AP核銷）、客戶退款、廠商退款與日常費用支出（租金/水電等）。支援現金庫存餘額追蹤。,PAYL,NX04PAYL0000001
64,nx04,note,nx04_note,票據管理,LITE-CORE,記錄應收與應付票據（支票/本票），包含票號、銀行、金額、到期日與狀態（持有中/已兌現/退票/作廢）。系統每日自動偵測7天內到期票據並通知出納。,NOTE,NX04NOTE0000001
65,nx04,allowance,nx04_allowance,折讓單,LITE-CORE,記錄進貨折讓（廠商給我們）與銷貨折讓（我們給客戶）主檔，需負責人審核。支援沖銷AP/AR、下次折抵、現金退回三種處置方式。,ALOW,NX04ALOW0000001
66,nx04,allowance_item,nx04_allowance_item,折讓單明細,LITE-CORE,記錄折讓明細，包含折讓原因、折讓金額、處置方式與來源單據關聯。,AWIT,NX04AWIT0000001
67,nx04,closing,nx04_closing,關帳記錄,LITE-CORE,記錄每日關帳作業，包含關帳時間、執行人、401報表上傳/列印時間。支援負責人解除關帳，解除記錄永久保存作稽核依據。,CLOS,NX04CLOS0000001
68,nx04,account_code,nx04_account_code,會計科目主檔,LITE-CORE,定義財務會計科目，包含科目代碼（如6132租金/6139水電費/6150電話費）、科目名稱與類別（收入/支出/資產/負債）。供收付款費用登記、損益報表與財務分析使用。,ACCD,NX04ACCD0000001
69,nx06,doc_link,nx06_doc_link,單據流轉關聯表,LITE-ADD-ON,單據流轉關聯表，記錄來源單據與目標單據之關聯關係，支援詢價→採購、報價→銷貨等轉單流程，並可追溯單據轉換歷程與關聯查詢。,DOCL,NX06DOCL0000001
70,nx07,dn,nx07_dn,送貨單表頭資料,LITE-CORE,外務出車任務主檔，支援多種任務類型（DELIVER送貨/PICKUP取貨/RETURN退貨/COLLECT取回退貨），可合併多張來源單據（SO/ST/TI/PR/SR）。支援電子簽收與 Phase 2 GPS 即時追蹤。,DNHD,NX07DNHD0000001
71,nx07,dn_item,nx07_dn_item,送貨單明細資料,LITE-CORE,送貨任務明細，記錄任務類型（DELIVER/PICKUP/RETURN/COLLECT）、來源單據、地址、簽收時間與簽收照片。,DNIT,NX07DNIT0000001
72,nx07,dn_stop,nx07_dn_stop,送貨停靠點,LITE-CORE,記錄送貨單每個停靠點資料，以客戶或目標倉為單位。含任務類型（DELIVER/PICKUP/RETURN/COLLECT）、地址、簽收資訊（客戶或倉管簽名）與異常說明。同一停靠點的所有項目共用一次簽收。,DNST,NX07DNST0000001
73,nx99,tenant,nx99_tenant,租戶主檔,LITE-CORE,記錄系統租戶資料，每個公司一筆，作為多租戶隔離根節點。,TANT,NX99TANT0000001
74,nx99,plan,nx99_plan,方案主檔,LITE-CORE,定義 NEXORA-LITE / PLUS / PRO 等方案與人數計價規則。,PLAN,NX99PLAN0000001
75,nx99,subscription,nx99_subscription,租戶訂閱資料,LITE-CORE,記錄租戶目前訂閱的方案、席次、人數與起訖時間。,SUBS,NX99SUBS0000001
76,nx99,subscription_item,nx99_subscription_item,訂閱項目明細,LITE-CORE,記錄訂閱包含之模組或費用項目（標配/加購），並保存價格快照。,SUIT,NX99SUIT0000001
77,nx99,product_module,nx99_product_module,產品模組主檔,LITE-CORE,定義產品銷售模組 SKU（如 LIT-CORE-SSO、LIT-ADD-ACC）。,PRMO,NX99PRMO0000001
78,nx99,product_module_map,nx99_product_module_map,模組對照表,LITE-CORE,將產品模組對應至實際程式碼模組（NX00~NX06）。,PRMM,NX99PRMM0000001
79,nx99,release,nx99_release,平台版本主檔,LITE-CORE,平台發行版本主檔，定義 NEXORA 平台的升級批次與版本號，作為版本管理與更新追蹤的基礎。,RELE,NX99RELE0000001
80,nx99,release_item,nx99_release_item,版本內容清單,LITE-CORE,版本內容清單，記錄某發行版本中新增或修改的資料表、功能項目與變更說明，供開發追蹤與客戶通知使用。,REIT,NX99REIT0000001
